url;country
http://zakon3.rada.gov.ua/laws/show/040_001;Австрія
http://zakon2.rada.gov.ua/laws/show/031_059;Азербайджан
http://zakon2.rada.gov.ua/laws/show/056_013;Бельгія
http://zakon2.rada.gov.ua/laws/show/112_028?nreg=112_028&find=1&text=%EB%B3%F2%EE&x=0&y=0;Білорусь
http://zakon2.rada.gov.ua/laws/show/076_025;Бразилія
http://zakon2.rada.gov.ua/laws/show/704_010;В’єтнам
http://zakon2.rada.gov.ua/laws/show/826_037;Велика Британія
http://zakon2.rada.gov.ua/laws/show/051_016;Вірменія
http://zakon2.rada.gov.ua/laws/show/300_028;Греція
http://zakon2.rada.gov.ua/laws/show/268_108;Грузія
http://zakon2.rada.gov.ua/laws/show/208_010;Данія
http://zakon2.rada.gov.ua/laws/show/233_012;Естонія
http://zakon2.rada.gov.ua/laws/show/818_004;Єгипет
"http://search.ligazakon.ua/l_doc2.nsf/link1/MU10195.html
http://zakon2.rada.gov.ua/laws/show/376_006";Ізраїль
http://zakon2.rada.gov.ua/laws/show/356_021;Індія
http://zakon2.rada.gov.ua/laws/show/364_001;Іран
http://zakon2.rada.gov.ua/laws/show/724_019;Іспанія
http://zakon2.rada.gov.ua/laws/show/380_018;Італія
http://zakon2.rada.gov.ua/laws/show/400_007;Йорданія
http://zakon2.rada.gov.ua/laws/show/398_018;Казахстан
http://zakon3.rada.gov.ua/laws/show/634_005;Катар
http://zakon2.rada.gov.ua/laws/show/417_035;Киргизстан
http://zakon2.rada.gov.ua/laws/show/196_024;Кіпр
http://zakon2.rada.gov.ua/laws/show/156_051;КНР
http://zakon3.rada.gov.ua/laws/show/192_013;Куба
http://zakon2.rada.gov.ua/laws/show/en/414_009;Кувейт
http://zakon2.rada.gov.ua/laws/show/428_015;Латвія
http://zakon3.rada.gov.ua/laws/show/440_608;Литва
http://zakon2.rada.gov.ua/laws/show/422_002;Ліван
http://zakon2.rada.gov.ua/laws/show/442_004;Люксембург
http://zakon2.rada.gov.ua/laws/show/ru/498_085;Молдова
http://zakon2.rada.gov.ua/laws/show/496_016;Монголія
http://zakon3.rada.gov.ua/laws/show/528_007;Нідерланди
http://zakon.rada.gov.ua/laws/show/276_044;Німеччина
http://zakon3.rada.gov.ua/laws/show/784_012;ОАЕ
http://zakon3.rada.gov.ua/laws/show/616_024;Польша
http://zakon3.rada.gov.ua/laws/show/410_005;Республіка Корея
http://zakon3.rada.gov.ua/laws/show/643_140;Російська Федерація
http://zakon3.rada.gov.ua/laws/show/ru/642_044;Румунія
http://zakon3.rada.gov.ua/laws/show/703_051;Словаччина
http://zakon2.rada.gov.ua/laws/show/840_170;США
http://zakon3.rada.gov.ua/laws/show/762_039;Таджикістан
http://zakon2.rada.gov.ua/laws/show/764_004;Таїланд
http://zakon3.rada.gov.ua/laws/show/788_011;Туніс
http://zakon3.rada.gov.ua/laws/show/792_083;Туреччина
http://zakon3.rada.gov.ua/laws/show/en/348_024;Угорщина
http://zakon3.rada.gov.ua/laws/show/860_043;Узбекістан
http://zakon3.rada.gov.ua/laws/show/246_023;Фінляндія
http://zakon3.rada.gov.ua/laws/show/250_051;Франція
http://zakon2.rada.gov.ua/laws/show/191_011;Хорватія
http://zakon3.rada.gov.ua/laws/show/203_038;Чехія
http://zakon2.rada.gov.ua/laws/show/892_012;Чорногорія
http://zakon2.rada.gov.ua/laws/show/756_032;Швейцарія
http://zakon3.rada.gov.ua/laws/show/752_022;Швеція
http://zakon3.rada.gov.ua/laws/show/144_006;Шрі-Ланка
